BT5110,Data Management and Warehousing,"This module aims to provide students with practical knowledge and understanding of basic issues and techniques in data management and warehousing with relational database management systems. The module covers data management concepts, conceptual (entity relationship model) and logical design (relational model) and database management (data definition, data manipulation, SQL) with relational database management systems.The module covers data warehousing concepts, data warehousing design and data warehousing with relational database management systems and tools.",4,Students must be in Master of Science in Business Analytics programme.,,1,60,0,
CG1001,Introduction to Computer Engineering,"This module aims to provide an overview of Computer Engineering to the freshmen students. The module introduces the sub-areas, the issues, the impacts, and the challenges of Computer Engineering in transforming the world. The module demonstrates Computer Engineering as a multi-disciplinary field that transcends the traditional boundary of Computer Science and Electrical Engineering. It also gives the students an idea of the possible areas of specializations in their senior years of study.",2,,,1,150,0,
CG2271,Real-Time Operating Systems,"Real-time systems must respond quickly to inputs from the environment in order to work effectively and safely, and realtime operating systems (RTOS) are a critical part of such systems. In this course the student is exposed to basic RTOS concepts like tasks, scheduling algorithms, RTOS customisation and concurrent real-time programming. By the end of this course a student will not only understand how an RTOS is built, but will also gain practical hands-on experience in customising RTOSs and in writing real-time programs.",4,CS1020/E Data Structures and Algorithms I,CS2106 Introduction to Operating Systems,0,,1,80
CG3002,Embedded Systems Design Project,"This module introduces students to the development of a large system from conceptualisation to its final implementation. It is structured to contain substantial design and development of hardware and software components. This module is the culminating point of a series of modules integrating the theories which students have already learnt in CG1101, CG1102/CG1103, CG2007, CG2271 and CS2103. With this capstone project, students would be able to better appreciate the relevance of the various components in the Computer Engineering curriculum to large scale computer engineering projects.",6,"EE2024 Programming for Computer Interfaces, CG2271 Real Time Operating Systems and CS2103 Software Engineering","EE3032 Innovation &amp; Enterprise II, EE3208 Embedded Computer Systems Design",1,80,1,70
CG3204L,Computer Networks Laboratory,"The main objective of this module is to equip students with upper layer networking concepts and hands-on network programming skills. It provides an in-depth treatment of the following topics: VLAN, Wireless LAN (802.11b/g/n), Fundamentals of Cryptography and Network Security Protocols (SSL, PGP, etc), DNS, VoIP with SIP and H.323 Protocol Suites, Multicast Routing and Network Protocols and Application (Client/Server, P2P) development using Socket Programming. Students perform hands-on experiments through interconnecting local area networks in the laboratory using switches and routers, and conduct experiments relating to the various topics learnt above.",4,EE3204 Computer Communication Networks I,"CS2105 Introduction to Computer Networks, CS3103 Computer Networks &amp; Protocols and CS3103L Computer Networks Laboratory",0,,0,
CP2201,Journey of the Innovator,"Innovators practice the art of persuading people to accept changes in how they live and work, leisure and social interaction. This module&#39;s object is to introduce students to digital innovation, and to encourage them to embark on a personal journey of creativity and challenge. Inspirational innovators will be invited to present topics related to digital innovation, such as successful innovative projects of start-up teams and advanced development teams, innovative approaches such as Design Thinking, and opportunities for innovation, the vibrant intersection of energising technology trends and new markets. This module will be graded as Completed Satisfactory or Completed Unsatisfactory (CS/CU).  ",2,,,1,,0,
CP3101,Topics in Computing,"The aim of this module is to provide a platform for innovative topics in computing that are not part of the regular curriculum to be presented to the students. This may include topics that are taught due to the availability of a visiting expert, new developments in an area, or a particular event such as a competition that can be used to impart appropriate education to the students. The module may be offered as graded or Completed Satisfactory or Completed Unsatisfactory (CS/CU) as appropriate to the topic.  ",4,Depends on the topic being offered.,,0,,0,
CP3101A,Global Open Source Project,This module is a part of an experimental global software engineering education initiative spearheaded by Stanford/Facebook.  It is offered as part of the CP3101 Topics in Computing series. Student teams will be associated with a select group of open source software projects. These projects are characterized by being active in both development and utilization as well as being open to new and relatively inexperienced committers. They are also projects that are deemed to be relevant in today&#39;s software ecosystem. We also believe there is value in seeding awareness of how to contribute to open source projects like these among future technology leaders. Ideally there will also be some value from the development work student teams contribute back to the project as well.  ,4,CS2103 or its equivalent,,0,,0,
CP3101C,Research in Supercomputing,"This module teaches students the basics of supercomputing and supervises them in participating in the world&#39;s three most popular supercomputing competitions, i.e., the US SC Student Competition affiliated with the IEEE Computer Society, the European ISC Student Cluster Competition affiliated with the International Supercomputing Conference, and the ASC Competition organized by the Asia Supercomputer Community. The module covers the latest advances in architectures, algorithms, and applications with focus on porting and optimizing legacy application packages for computational and energy efficiencies. The module supervises proposal writing and implementation as part of the requirements of the competitions.  ",4,CS3210,,0,,0,
CP3106,Independent Project,"The objective of this project module enables students to undertake a substantial project work over a period of six months. Students may work individually or in groups on projects proposed by staff. They will have good opportunity to apply what they have learnt on practical problems, be it research",4,[ (CS2102 or CS2102S) and CS2105 and read (CS3214 or CS3215)] or IS3102 or IS4102 or CS3201or CS3281or CS4201 or CS4203,,1,,0,
CP3108A,Independent Work,"This module allows students to explore their interest areas within the computing field and at the same time learn how to take initiatives, plan and think critically, through the process of independent work. Students have to find a faculty mentor for the independent work and submit for approval a proposal outlining the learning objectives, schedule and evaluation criteria. The module will be graded by the faculty mentor and course coordinator as Completed Satisfactory/Completed Unsatis-factory (CS/CU). Credit will be given for CS3108A (2MC) depending on the workload proposed.  ",2,,CS3108A,1,,0,
CP3108B,Independent Work,"This module allows students to explore their interest areas within the computing field and at the same time learn how to take initiatives, plan and think critically, through the process of doing independent work. Students have to find a faculty mentor for the independent work and submit for approval a proposal outlining the learning objectives, schedule and evaluation criteria. The module will be graded by the faculty mentor and course coordinator as Completed Satisfactory/Completed Unsatis-factory (CS/CU). Credit will be given for CS3108B (4MC) depending on the workload proposed.  ",4,,CS3108B,1,,0,
CP3109,Overseas Exploratory Project,"This module enables students to explore the operations of IT companies through educational visit to various sectors of IT industry. The visit enables students develop global perspective of IT operations, and issues related to global IT services, management and engineering. The visit will be at least one week. Students are required to attend a pre-visit workshop (to attain basic technical knowledge required to appreciate the visit), organise the visit, and attend a post-visit workshop (to share and report on their findings during the visit). They are also required to submit a report to report on their accomplishment of educational objectives from the trip. The module is evaluated as Completed Satisfactory/ Completed Unsatisfactory (CS/CU) based on the continual assessment and final report.  ",2,,CS3109,1,,0,
CP3200,Internship,"The IT industry and related businesses are developing rapidly for which students need to have an opportunity to expose themselves to the latest industry developments. This internship module requires students to work in a company for a period of three months. Their progress on projects will be monitored during attachment, and their performance will be graded as Completed Satisfactory/Completed Unsatisfactory (CS/CU) at the end of the attachment, based on the final project report. During the attachment, students are not expected to take other modules offered by the university.  ",6,Students can only take this module after completing 70 MCs. Student Selection process will be enforced.,,1,,0,
CP3201,Industry Seminar,"The information technology (IT) industry is in an ever-changing state of evolvement and innovation. This module aims to acquaint students with the latest Information Technology (IT) innovation, practices, and developments. Prominent leaders and practitioners in the IT industry will be invited to impart their knowledge and insights into the latest IT trends and developments from various industry arenas such as the finance, healthcare, consulting, manufacturing, and entertainment industries. Students&#39; performance will be graded as Completed Satisfactory/Completed Unsatisfactory (CS/CU) at the end of the module based on the coursework.  ",2,,,1,,0,
CP3202,Internship II,"The IT industry and related businesses are developing rapidly for which students need to have an opportunity to expose themselves to the latest industry developments. This internship module requires students to work in a company for a period of three months. Their progress on projects will be monitored during attachment, and their performance will be graded as Completed Satisfactory/Completed Unsatisfactory (CS/CU) at the end of the attachment, based on the final project report. This is the second three month internship for the School of Computing students. With two internships, the student will be able to experience work in two distinct types of organizations, such as a start-up and a MNC, or in two different industries.  ",6,Students can only take this module after completing 70 MCs. Student Selection process will be enforced.,,0,,0,
CP3208,Undergraduate Research in Computing I,"The module (together with CS3209) is part of the UROP (Computing) project. The objective of this module and the UROP (Computing) project in general, is to provide an opportunity for talented students to undertake a substantial research project under the supervision of faculty members of the School of Computing. Through this research collaboration, the student will get to experience at first hand the challenges and exhilaration of research, discovery and invention. This module should be followed by CS3209 to complete the UROP (Computing) project.  ",4,Pass 60 MCs and with approval from respective department.,CS3208,1,,0,
CP3209,Undergraduate Research in Computing II,The module follows CS3208 and completes the requirements of the UROP (Computing) project. Please see CS3208 for description.  ,4,CS3208 or CP3208 or UIS3951R,CS3209,1,,0,
CP3880,Advanced Technology Attachment Programme,This module enables students to apply the computing knowledge they have assimilated in class to industrial projects through six,12,[ IS2102 or CG1413and (CS2103 or IS2103 or IS2150)] and preferably completed [IS3102 or (CS3201 and CS3202)or (CS3281 and CS3282) or IS4102 or (CS4201 and CS4202) or (CS4203 and CS4204) or (CG2001). Student Selection process will be enforced.,CS3880,1,,0,
CP3881,Incubation Project,"This one-year module aims to nurture technopreneurship among students. It enables students to start up a company while studying in NUS. The start-ups will be placed in the SoC Incubation Centre, through which students receive various assistances from the Centre in managing and operating their companies. Students are required to submit an interim report after six months into their business, and a final report after one year into their business. The reports will be assessed by the Incubation Centre Review Committee for students&#39; ability in managing and operating their companies. The module is assessed on Complete Satisfactory/Complete Unsatisfactory (CS/ CU) basis.  ",12,Business proposal being accepted by Evaluation Committee of SoC Incubation Centre,CS3881,0,,0,
CP4101,BComp Dissertation,"The objective of this module is to enable students to work on an individual research project spanning over two semesters, with approximately 400 hours of workload. Students learn how to apply skills acquired in the classroom and also think of innovative ways of solving problems, and learn to work in a research environment. The project demonstrates a student&#39;s work ethic, initiative, determination, and ability to think independently. On completion of the project, the student has to submit a dissertation describing the project work, and give an oral presentation before a panel of examiners.  ",12,Attain at least 70% of the MC requirement for the respective degree,,1,,0,
CP5100,Graduate Research Paper,,0,The graduate research paper presentation is for evaluating the ability of the student to undertake a critical review of an existing research area. The student is expected to have necessary background and show competence in embarking on the Ph.D. research. Students are expected to identify a promising research area. The paper should be self,"contained and provide a good overview of the research problems, initial exploration of the research area, and insight to the research problems, with preliminary study and proposals on the outstanding research issues. It should contain more findings than a survey paper.",0,,0,
CP6010,Doctoral Seminar,,0,A Ph.D. candidate will be required to give a Doctoral Seminar along with his/her Ph.D. Thesis Proposal. The seminar should include any research findings or work from published papers.,,1,,0,
CS1010,Programming Methodology,"This module introduces the fundamental concepts of problem solving by computing and programming using an imperative programming language. It is the first and foremost introductory course to computing. It is also the first part of a three-part series on introductory programming and problem solving by computing, which also includes CS1020 and CS2010. Topics covered include problem solving by computing, writing pseudo-codes, basic problem formulation and problem solving, program development, coding, testing and debugging, fundamental programming constructs (variables, types, expressions, assignments, functions, control structures, etc.), fundamental data structures: arrays, strings and structures, simple file processing, and basic recursion. This module is appropriate for SoC students.  ",4,Nil,"CG1101, CS1010E, CS1010FC, CS1010J, CS1010S, CS1101, CS1101C, CS1101S, . Engineering and Science students who require this module for their majors/minors are not allowed to read it as ULR-Breadth.",1,240,1,40
CS1010E,Programming Methodology,"This module introduces the fundamental concepts of problem solving by computing and programming using an imperative programming language. It is the first and foremost introductory course to computing. It is also the first part of a three-part series on introductory programming and problem solving by computing, which also includes CS1020E and CS2010. Topics covered include problem solving by computing, writing pseudo-codes, basic problem formulation and problem solving, program development, coding, testing and debugging, fundamental programming constructs (variables, types, expressions, assignments, functions, control structures, etc.), fundamental data structures: arrays, strings and structures, simple file processing, and basic recursion.This module is appropriate for FoE students.  ",4,Nil,CS1010 and its equivalents,1,900,1,450
CS1010J,Programming Methodology,"This module introduces the fundamental concepts of problem solving by computing and programming using an imperative programming language. It is the first and foremost introductory course to computing. It is also the first part of a three-part series on introductory programming and problem solving by computing, which also includes CS1020E and CS2010. Topics covered include problem solving by computing, writing pseudo-codes, basic problem formulation and problem solving, program development, coding, testing and debugging, fundamental programming constructs (variables, types, expressions, assignments, functions, control structures, etc.), fundamental data structures: arrays, strings and structures, simple file processing, and basic recursion. This module is appropriate for B.Comp.(IS) and B.Comp.(EC) students.  ",4,Nil,CS1010 and its equivalents,1,120,0,
CS1010S,Programming Methodology,"This module introduces the fundamental concepts of problem solving by computing and programming using an imperative programming language. It is the first and foremost introductory course to computing and is equivalent to CS1010 and CS1010E Programming Methodology. Topics covered include problem solving by computing, writing pseudo-codes, basic problem formulation and problem solving, program development, coding, testing and debugging, fundamental programming constructs (variables, types, expressions, assignments, functions, control structures, etc.), fundamental data structures: arrays, strings and structures, simple file processing, and basic recursion. This module is appropriate for FoS students.  ",4,Nil,CS1010 or its equivalent,1,240,1,200
CS1010X,Programming Methodology,"This module introduces the fundamental concepts of problem solving by computing and programming using an imperative programming language. It is the first and foremost introductory course to computing and is equivalent to CS1010, CS1010S and CS1010E Programming Methodology. The module will be taught using the Python programming language and topics covered include problem solving by computing, writing pseudo-codes, basic problem formulation and problem solving, program development, coding, testing and debugging, fundamental programming constructs (variables, types, expressions, assignments, functions, control structures, etc.), fundamental data structures: arrays, strings and structures, simple file processing, and basic recursion.  ",4,Nil,CS1010 and its equivalents,0,,1,100
